Ticker,Index,Announced,Trade Date,Action
KLG*,Russell 1000,2023-09-27,2023-09-29,Add
VSTS*,Russell 1000,2023-09-26,2023-09-29,Add
VLTO*,Russell 1000,2023-09-25,2023-09-29,Add
SYNH,SP400,2023-09-26,2023-09-28,Delete
SYNH,MSCI SC,2023-09-26,2023-09-28,Delete
TRTN,Russell 2000,2023-09-26,2023-09-27,Delete
RETA,Russell 2000,2023-09-21,2023-09-25,Delete
TRTN,MSCI SC,2023-09-25,2023-09-27,Delete
SYNH,Russell 1000,2023-09-26,2023-09-27,Delete
RADI,MSCI SC,2023-09-20,2023-09-22,Delete
RETA,MSCI SC,2023-09-19,2023-09-21,Delete
CBAY,MSCI SC,2023-09-12,2023-09-14,Upweight
RTL,Russell 2000,2023-09-07,2023-09-11,Delete
RTL,MSCI SC,2023-09-07,2023-09-11,Delete
QUOT,Russell 2000,2023-08-29,2023-09-05,Delete
BKI,MSCI Std,2023-08-29,2023-09-01,Delete
BKI,Russell 1000,2023-08-30,2023-09-01,Delete
NUVA,SP600,2023-08-28,2023-08-31,Delete
NEX,SP600,2023-08-28,2023-08-31,Delete
NEX,Russell 2000,2023-08-25,2023-08-31,Delete
NUVA,Russell 2000,2023-08-28,2023-08-31,Delete
FOCS,Russell 2000,2023-08-28,2023-08-30,Delete
FORG,MSCI SC,2023-08-23,2023-08-25,Delete
APE,MSCI SC,2023-08-24,2023-08-28,Delete
FRG,Russell 2000,2023-08-17,2023-08-21,Delete
UBA,SP600,2023-08-17,2023-08-21,Delete
FRG,MSCI SC,2023-08-15,2023-08-17,Delete
UBA,MSCI SC,2023-08-14,2023-08-16,Delete
ARNC,Russell 2000,2023-08-15,2023-08-17,Delete
ARNC,MSCI SC,2023-08-16,2023-08-18,Delete
ARNC,SP600,2023-08-16,2023-08-18,Delete
KDNY,Russell 2000,2023-08-08,2023-08-11,Delete
KDNY,MSCI SC,2023-08-07,2023-08-11,Delete
MRTX,MSCI SC,2023-08-09,2023-08-11,Upweight
PDCE,SP400,2023-08-01,2023-08-07,Delete
DICE,MSCI SC,2023-08-04,2023-08-08,Delete
PDCE,MSCI SC,2023-08-03,2023-08-04,Delete
PDCE,Russell 1000,2023-08-03,2023-08-04,Delete
PDCE,Russell 1000,2023-08-02,2023-08-04,Delete
UNVR,SP400,2023-08-01,2023-08-03,Delete
UNVR,MSCI SC,2023-07-31,2023-08-02,Delete
AJRD,SP600,2023-07-27,2023-07-31,Delete
AJRD,MSCI SC,2023-07-27,2023-07-31,Delete
FWONK_x,Russell 1000,2023-07-14,2023-07-24,Delete
FWONA_x,Russell 1000,2023-07-14,2023-07-24,Delete
FWONA_x,Russell 1000,2023-07-14,2023-07-19,Add
LSI,SP400,2023-07-19,2023-07-21,Delete
FWONK_x,Russell 1000,2023-07-14,2023-07-19,Add
BGRY,Russell 2000,2023-07-13,2023-07-19,Delete
LSI,MSCI SC,2023-07-14,2023-07-18,Delete
ATVI,Nasdaq 100,2023-07-12,2023-07-14,Delete
ISEE,MSCI SC,2023-07-04,2023-07-06,Delete
DSEY,MSCI SC,2023-06-30,2023-07-05,Delete
FTREV,SP500,2023-06-28,2023-07-05,SP500 to SP600
FTREV,S&P Completion,2023-06-28,2023-07-05,SP500 to SP600
DSEY,Russell 2000,2023-06-28,2023-07-05,Delete
PHIN-W,MSCI SC,2023-06-30,2023-07-05,Add
FTREV,SP600,2023-06-28,2023-07-05,SP500 to SP600
PHIN-W,SP500,2023-06-28,2023-07-03,Add
FTREV,MSCI SC,2023-06-27,2023-07-03,Add
PHIN-W,SP500,2023-06-28,2023-07-05,SP500 to SP600
FTREV,Russell 1000,2023-06-27,2023-06-30,Add
FTREV,SP500,2023-06-28,2023-06-30,Add
PHIN-W,S&P Completion,2023-06-28,2023-07-05,SP500 to SP600
PHIN-W,SP600,2023-06-28,2023-07-05,SP500 to SP600
TCFC,Russell 2000,2023-06-27,2023-06-30,Delete
INDT,MSCI SC,2023-06-27,2023-06-29,Delete
INDT,Russell 2000,2023-06-26,2023-06-28,Delete
PHIN-W,Russell 1000,2023-06-28,2023-07-03,Add
USX,Russell 2000,2023-06-27,2023-06-30,Delete
CTIC,MSCI SC,2023-06-21,2023-06-23,Delete
ROCC,SP600,2023-06-20,2023-06-22,Delete
METBV,Russell 2000,2023-06-15,2023-06-21,Add
ROCC,MSCI SC,2023-06-14,2023-06-16,Delete
DISH,SP600,2023-06-05,2023-06-16,SP500 to SP600
CVT,Russell 2000,2023-06-09,2023-06-14,Delete
RXDX,MSCI SC,2023-06-13,2023-06-15,Delete
RUTH,MSCI SC,2023-06-09,2023-06-13,Delete
HSKA,SP600,2023-06-07,2023-06-13,Delete
RUTH,SP600,2023-06-07,2023-06-13,Delete
HSKA,Russell 2000,2023-06-08,2023-06-12,Delete
HSKA,MSCI SC,2023-06-05,2023-06-07,Delete
KNF-W,SP400,2023-05-25,2023-05-31,Add
MNTV,Russell 2000,2023-05-26,2023-05-31,Delete
KNF-W,Russell 1000,2023-05-26,2023-05-31,Add
KNF-W,MSCI SC,2023-05-26,2023-06-01,Add
KBAL,Russell 2000,2023-05-25,2023-05-31,Delete
BRMK,MSCI SC,2023-05-25,2023-05-31,Delete
MGI,Russell 2000,2023-05-24,2023-05-31,Delete
AQUA,MSCI SC,2023-05-23,2023-05-25,Delete
RE,Russell 1000,2023-05-17,2023-05-19,Upweight
RE,MSCI Std,2023-05-17,2023-05-19,Upweight
RE,SP500,2023-05-17,2023-05-18,Upweight
TA,Russell 2000,2023-05-09,2023-05-12,Delete
SUMO,Russell 2000,2023-05-08,2023-05-11,Delete
TA,MSCI SC,2023-05-08,2023-05-12,Delete
IMGN,MSCI SC,2023-05-08,2023-05-10,Upweight
IMGN,Russell 2000,2023-05-05,2023-05-09,Upweight
FRC,SP500,2023-05-01,2023-05-03,Delete
FRC,MSCI Std,2023-05-01,2023-05-02,Delete
SUMO,MSCI SC,2023-05-08,2023-05-11,Delete
MAXR,MSCI SC,2023-05-01,2023-05-03,Delete
MAXR,Russell 2000,2023-05-01,2023-05-02,Delete
JNCE,Russell 2000,2023-05-01,2023-05-03,Delete
OSH,MSCI SC,2023-04-27,2023-05-01,Delete
PRVB,MSCI SC,2023-04-27,2023-05-01,Delete
CSII,Russell 2000,2023-04-27,2023-04-28,Delete
TIG,Russell 2000,2023-04-18,2023-04-20,Delete
OSH,Russell 1000,2023-04-25,2023-05-01,Delete
CSII,SP600,2023-04-25,2023-04-28,Delete
CSII,MSCI SC,2023-04-25,2023-04-27,Delete
MSGE-W,MSCI SC,2023-04-18,2023-04-21,Add
MSGE-W,Russell 2000,2023-04-17,2023-04-20,Add
CR-W,MSCI SC,2023-03-31,2023-04-04,Add
PACW,SP600,2023-03-29,2023-04-04,Add
PACW,SP400,2023-03-29,2023-04-04,Delete
CR-W,SP400,2023-03-29,2023-04-03,Add
CR-W,Russell 1000,2023-03-29,2023-04-03,Add
STHOV,SP600,2023-03-28,2023-03-31,Delete
STAR,SP600,2023-03-28,2023-03-31,Delete
STHOV,SP600,2023-03-28,2023-03-30,Add
STHOV,Russell 2000,2023-03-27,2023-03-30,Add
STAR,Russell 2000,2023-03-27,2023-03-30,Delete
VLTA,Russell 2000,2023-03-24,2023-03-30,Delete
STAR,MSCI SC,2023-03-28,2023-03-30,Delete
DCT,MSCI SC,2023-03-27,2023-03-29,Delete
SGFY,MSCI SC,2023-03-27,2023-03-29,Delete
DCT,Russell 2000,2023-03-24,2023-03-29,Delete
AIMC,MSCI SC,2023-03-23,2023-03-28,Delete
SGFY,Russell 1000,2023-03-27,2023-03-28,Delete
EVOP,MSCI SC,2023-03-24,2023-03-27,Delete
EVOP,Russell 2000,2023-03-23,2023-03-24,Delete
KRTX,Russell 2000,2023-03-22,2023-03-24,Upweight
IAA,SP400,2023-03-15,2023-03-21,Delete
BLI,Russell 2000,2023-03-17,2023-03-20,Upweight
IAA,MSCI SC,2023-03-16,2023-03-20,Delete
IAA,Russell 1000,2023-03-16,2023-03-20,Delete
AAWW,SP600,2023-03-15,2023-03-20,Delete
AAWW,Russell 2000,2023-03-15,2023-03-17,Delete
AAWW,MSCI SC,2023-03-15,2023-03-17,Delete
NEX,SP600,2023-03-06,2023-03-17,Add
BBBY,SP600,2023-03-06,2023-03-17,Delete
HT,SP600,2023-03-06,2023-03-17,Delete
SIVB,SP500,2023-03-10,2023-03-14,Delete
MYOV,MSCI SC,2023-03-07,2023-03-09,Delete
VVNT,MSCI SC,2023-03-07,2023-03-09,Delete
VVNT,Russell 2000,2023-03-06,2023-03-09,Delete
ALBO,MSCI SC,2023-03-02,2023-03-06,Delete
AVTA,MSCI SC,2023-02-27,2023-03-01,Downweight
AVTA,SP600,2023-02-27,2023-02-28,Downweight
UMPQ,MSCI SC,2023-02-27,2023-03-01,Delete
COWN,MSCI SC,2023-02-27,2023-03-01,Delete
RFP,Russell 2000,2023-02-24,2023-02-28,Delete
COUP,MSCI SC,2023-02-27,2023-03-01,Delete
COWN,Russell 2000,2023-02-27,2023-02-28,Delete
UMPQ,SP400,2023-02-23,2023-02-28,Delete
CINC,MSCI SC,2023-02-23,2023-02-27,Delete
ALBO,Russell 2000,2023-02-16,2023-02-21,Delete
LHCG,MSCI SC,2023-02-22,2023-02-24,Delete
CINC,Russell 2000,2023-02-21,2023-02-23,Delete
COUP,Russell 1000,2023-02-24,2023-02-27,Delete
ONEM,MSCI SC,2023-02-22,2023-02-24,Delete
LHCG,SP400,2023-02-16,2023-02-22,Delete
LHCG,Russell 2000,2023-02-16,2023-02-22,Delete
PAYA,MSCI SC,2023-02-16,2023-02-21,Delete
WEBR,Russell 2000,2023-02-15,2023-02-17,Delete
VLDR,Russell 2000,2023-02-10,2023-02-13,Delete
STOR,MSCI SC,2023-02-01,2023-02-03,Delete
STOR,SP400,2023-01-30,2023-02-03,Delete
KNBE,MSCI SC,2023-01-27,2023-01-31,Delete
SJI,SP600,2023-01-26,2023-02-01,Delete
STOR,Russell 1000,2023-01-30,2023-02-03,Delete
SJI,Russell 2000,2023-01-27,2023-01-31,Delete
SJI,MSCI SC,2023-01-27,2023-01-31,Delete
PFHD,Russell 2000,2023-01-25,2023-01-31,Delete
VIVO,MSCI SC,2023-01-26,2023-01-30,Delete
VIVO,SP600,2023-01-25,2023-01-30,Delete
AVEO,MSCI SC,2023-01-13,2023-01-18,Delete
VIVO,Russell 2000,2023-01-25,2023-01-30,Delete
VTS-W,MSCI SC,2023-01-11,2023-01-17,Add
VTS-W,SP400,2023-01-11,2023-01-17,Delete
LTHM,SP400,2022-12-19,2023-01-04,Upweight
VTS-W,SP400,2023-01-11,2023-01-13,Add
IMGO,MSCI SC,2023-01-10,2023-01-12,Delete
USER,Russell 2000,2023-01-06,2023-01-11,Delete
VTS-W,Russell 1000,2023-01-10,2023-01-13,Add
LTHM,Russell 2000,2022-12-20,2023-01-03,Upweight
POSH,Russell 2000,2022-12-30,2023-01-04,Delete
GEHCV,MSCI Std,2022-12-29,2023-01-04,Add
GEHCV,SP500,2022-12-28,2023-01-03,Add
SPNE,Russell 2000,2022-12-30,2023-01-04,Delete
POSH,MSCI SC,2022-12-23,2022-12-27,Delete
MNRL,MSCI SC,2022-12-23,2022-12-28,Delete
GEHCV,Russell 1000,2022-12-29,2023-01-03,Add
AMRS,MSCI SC,2022-12-29,2023-01-03,Upweight
LFG,MSCI SC,2022-12-23,2022-12-27,Delete
MNRL,Russell 2000,2022-12-21,2022-12-28,Delete
LFG,Russell 2000,2022-12-23,2022-12-27,Delete
TGIDW,SP600,2022-12-21,2022-12-22,Delete
TGIDW,Russell 2000,2022-12-20,2022-12-22,Delete
SPLK,Nasdaq 100,2022-12-09,2022-12-16,Delete
AGTI,SP600,2022-12-02,2022-12-16,Add
NUVA,SP600,2022-12-02,2022-12-16,SP400 to SP600
DBD,SP600,2022-12-02,2022-12-16,Delete
MBC-W,SP600,2022-12-12,2022-12-16,Add
FBHS,SP400,2022-12-12,2022-12-16,Add
BTRS,MSCI SC,2022-12-13,2022-12-15,Delete
BTRS,Russell 2000,2022-12-13,2022-12-15,Delete
MBC-W,SP500,2022-12-12,2022-12-16,Delete
FBHS,SP500,2022-12-12,2022-12-16,Delete
